have	1315648 -> had,has,'ve,having,'s,'d,d,ve
speed	9459 -> speeds,speeding,sped,speeded
★text	9429 -> texts
realise	9422 -> realised,realising,realises
promise	9418 -> promised,promises,promising
★possibility	9387 -> possibilities
★conservative	9381 -> conservatives
progress	9377 -> progressed,progressing,progresses
debate	9366 -> debates,debated,debating
score	9364 -> scored,scores,scoring
define	9357 -> defined,defining,defines
beat	9356 -> beaten,beating,beats
lift	9342 -> lifted,lifting,lifts
career	9336 -> careers,careered,careering
focus	9335 -> focused,focusing,focuses,focussed,foci,focussing
★december	9332 -> decembers
★solution	9323 -> solutions
★november	9316 -> novembers
★executive	9264 -> executives
scale	9263 -> scales,scaled,scaling
★organization	9255 -> organizations
earth	9253 -> earthed,earths,earthing
examine	9249 -> examined,examining,examines
★hill	9249 -> hills
welcome	9249 -> welcomed,welcomes,welcoming
★medical	9245 -> medicals
★wales	9234 -> waless
network	9230 -> networks,networking,networked
★requirement	9199 -> requirements
sport	9186 -> sports,sporting,sported
quarter	9182 -> quarters,quartered,quartering
occasion	9152 -> occasions,occasioned,occasioning
★opposition	9140 -> oppositions
hot	9138 -> hotter,hottest,hotting,hots,hotted
★option	9137 -> options
band	9116 -> bands,banded,banding
recognise	9116 -> recognised,recognising,recognises
telephone	9107 -> telephoned,telephones,telephoning
★opinion	9096 -> opinions
★railway	9091 -> railways
★forest	9087 -> forests
★sister	9078 -> sisters
content	9064 -> contents,contented,contenting
favour	9056 -> favoured,favours,favouring
★island	9038 -> islands
radio	9029 -> radios,radioing,radioed
dear	8984 -> dearest,dearer,dears
★none	8984 -> nones
★concept	8979 -> concepts
store	8963 -> stores,stored,storing
★essential	8952 -> essentials
attend	8948 -> attended,attending,attends
reform	8948 -> reforms,reformed,reforming
★charles	8939 -> charless
partner	8924 -> partners,partnered,partnering
★arrangement	8917 -> arrangements
★objective	8913 -> objectives
★tomorrow	8896 -> tomorrows
★employee	8893 -> employees
ball	8888 -> balls,balled,balling
waste	8888 -> wasted,wasting,wastes
sex	8876 -> sexes,sexing,sexed
equipment	8861 -> equipments,equipment
farm	8855 -> farms,farmed,farming
clean	8850 -> cleaning,cleaned,cleaner,cleans,cleanest
hang	8848 -> hung,hanging,hangs,hanged
shake	8841 -> shook,shaking,shaken,shakes
interview	8826 -> interviews,interviewed,interviewing
★oxford	8815 -> oxfords
★strategy	8804 -> strategies
★length	8770 -> lengths
★failure	8735 -> failures
branch	8725 -> branches,branched,branching
perform	8711 -> performed,performing,performs
corner	8710 -> corners,cornered,cornering
★reader	8703 -> readers
★speech	8699 -> speeches
★owner	8692 -> owners
cash	8689 -> cashed,cashing,cashes
★wood	8671 -> woods
brown	8661 -> browns,browned,browner,browning,brownest
finger	8654 -> fingers,fingered,fingering
★peace	8652 -> peaces
master	8641 -> masters,mastered,mastering
★crime	8633 -> crimes
★scene	8630 -> scenes
estimate	8615 -> estimated,estimates,estimating
message	8597 -> messages,messaging
credit	8570 -> credits,credited,crediting
adopt	8563 -> adopted,adopting,adopts
launch	8556 -> launched,launching,launches
dream	8536 -> dreams,dreamed,dreaming,dreamt
★saturday	8532 -> saturdays
★mum	8523 -> mums
mass	8521 -> masses,massed,massing
★expression	8493 -> expressions
protect	8491 -> protected,protecting,protects
confirm	8489 -> confirmed,confirms,confirming
shoulder	8484 -> shoulders,shouldered,shouldering
★afternoon	8480 -> afternoons
★marriage	8470 -> marriages
trial	8465 -> trials,trialled
★league	8463 -> leagues
★nation	8430 -> nations
★senior	8427 -> seniors
track	8415 -> tracks,tracked,tracking
stress	8394 -> stressed,stresses,stressing
★positive	8389 -> positives
★truth	8380 -> truths
★relative	8371 -> relatives
★christian	8316 -> christians
★february	8310 -> februaries
★adult	8306 -> adults
square	8285 -> squares,squared,squaring
★accident	8255 -> accidents
stick	8255 -> stuck,sticks,sticking
ship	8251 -> ships,shipping,shipped
★commercial	8245 -> commercials
warm	8240 -> warmer,warmed,warming,warmest,warms
★newspaper	8233 -> newspapers
★tea	8232 -> teas
spirit	8231 -> spirits,spirited,spiriting
pair	8218 -> pairs,paired,pairing
★kitchen	8209 -> kitchens
wave	8191 -> waves,waved,waving
★annual	8181 -> annuals
advance	8167 -> advanced,advances,advancing
mine	8142 -> mines,mining,mined
block	8129 -> blocks,blocked,blocking
gas	8127 -> gases,gassing,gasses,gassed
slow	8126 -> slower,slowed,slowing,slows,slowest
★contribution	8125 -> contributions
dry	8123 -> dried,drying,dries,drier,driest,dryer
★museum	8119 -> museums
proportion	8105 -> proportions,proportioned
tour	8085 -> tours,touring,toured
feed	8072 -> fed,feeding,feeds
best	8054 -> bests,bested,besting
pain	8051 -> pains,pained,paining
★strength	8051 -> strengths
★justice	8050 -> justices
stare	8027 -> stared,staring,stares
★living	8020 -> livings
★protection	8007 -> protections
shoot	7977 -> shot,shooting,shoots
★agent	7964 -> agents
★works	7958 -> workss
conduct	7957 -> conducted,conducting,conducts
imagine	7957 -> imagined,imagining,imagines
count	7953 -> counts,counted,counting
sample	7951 -> samples,sampled,sampling
★august	7950 -> augusts
★smith	7935 -> smiths
★overall	7924 -> overalls
★queen	7913 -> queens
battle	7909 -> battles,battling,battled
struggle	7909 -> struggling,struggled,struggles
★representative	7906 -> representatives
joint	7900 -> joints,jointed,jointing
★candidate	7899 -> candidates
★meaning	7898 -> meanings
contrast	7887 -> contrasts,contrasted,contrasting
★presence	7886 -> presences
safe	7877 -> safer,safest,safes
employ	7859 -> employed,employing,employs
cry	7849 -> cried,crying,cries
rich	7840 -> richer,richest,riches
spring	7837 -> springs,sprang,sprung,springing
murder	7827 -> murdered,murders,murdering
flow	7807 -> flows,flowing,flowed
★plus	7807 -> pluses
★regional	7805 -> regionals
★assessment	7803 -> assessments
★artist	7801 -> artists
distance	7778 -> distances,distanced,distancing
guide	7776 -> guides,guided,guiding
suit	7775 -> suits,suited,suiting
collect	7765 -> collected,collecting,collects
★regular	7761 -> regulars
pretty	7750 -> prettiest,prettier
★consequence	7749 -> consequences
★africa	7744 -> africas
marry	7742 -> married,marrying,marries
stuff	7739 -> stuffed,stuffing,stuffs
★consideration	7736 -> considerations
★driver	7731 -> drivers
flower	7704 -> flowers,flowering,flowered
video	7691 -> videos,videoing,videoed
request	7687 -> requested,requests,requesting
impact	7680 -> impacts,impacted,impacting
worry	7665 -> worries,worried,worrying
★practical	7662 -> practicals
★latter	7657 -> latters
★understanding	7649 -> understandings
bottom	7630 -> bottoms,bottoming,bottomed
gold	7604 -> golds,golding
correct	7602 -> corrected,correcting,corrects
★beginning	7599 -> beginnings
★daily	7586 -> dailies
appoint	7565 -> appointed,appointing,appoints
winter	7544 -> winters,wintering,wintered
emerge	7541 -> emerged,emerging,emerges
net	7536 -> nets,netted,netting
spot	7534 -> spots,spotted,spotting
route	7520 -> routes,routing,routed
skin	7468 -> skins,skinned,skinning
deny	7457 -> denied,denying,denies,denys
package	7454 -> packages,packaged,packaging
rain	7439 -> raining,rains,rained
spread	7439 -> spreading,spreads
★reaction	7435 -> reactions
equal	7432 -> equals,equalled,equalling
★expert	7419 -> experts
★belief	7418 -> beliefs
conflict	7418 -> conflicts,conflicted,conflicting
★danger	7417 -> dangers
sight	7384 -> sights,sighted,sighting
decline	7383 -> declined,declining,declines
★conclusion	7382 -> conclusions
purchase	7372 -> purchased,purchases,purchasing
secure	7346 -> secured,securing,secures
observe	7334 -> observed,observing,observes
★politics	7333 -> politicss
bridge	7322 -> bridges,bridged,bridging
bag	7312 -> bags,bagged,bagging
★estate	7298 -> estates
handle	7295 -> handled,handling,handles
propose	7284 -> proposed,proposing,proposes
★path	7276 -> paths
★farmer	7273 -> farmers
boat	7256 -> boats,boating
★debt	7251 -> debts
hole	7250 -> holes,holed,holing
escape	7225 -> escaped,escaping,escapes
★active	7224 -> actives
★employer	7206 -> employers
★vehicle	7197 -> vehicles
★reality	7185 -> realities
settle	7179 -> settled,settling,settles
repeat	7172 -> repeated,repeating,repeats
row	7170 -> rows,rowed,rowing
★weekend	7168 -> weekends
wine	7157 -> wines,wined,wining
★writer	7150 -> writers
tear	7134 -> tears,torn,tore,tearing
★injury	7125 -> injuries
respond	7121 -> responded,responding,responds
wage	7117 -> wages,waged,waging
★insurance	7091 -> insurances
tie	7082 -> tied,ties,tying
ignore	7075 -> ignored,ignoring,ignores
★connection	7065 -> connections
blow	7057 -> blew,blown,blowing,blows,blowed
★prison	7048 -> prisons
survive	7036 -> survived,survives,surviving
desire	7019 -> desires,desired,desiring
★colleague	7009 -> colleagues
concentrate	7008 -> concentrated,concentrating,concentrates
★somebody	7007 -> somebodies
ride	6992 -> riding,rode,rides,ridden
dance	6978 -> dancing,danced,dances
arrange	6976 -> arranged,arranging,arranges
★legislation	6965 -> legislations
★confidence	6959 -> confidences
★commitment	6943 -> commitments
★painting	6942 -> paintings
★generation	6930 -> generations
★clothes	6923 -> clothess
initial	6923 -> initials,initialled,initialling
shift	6911 -> shifted,shifts,shifting
sum	6908 -> sums,summed,summing
select	6906 -> selected,selecting,selects
★volume	6906 -> volumes
★threat	6902 -> threats
roll	6879 -> rolled,rolling,rolls
bloody	6874 -> bloodiest,bloodied,bloodies,bloodying,bloodier
★introduction	6858 -> introductions
★entry	6855 -> entries
★domestic	6846 -> domestics
★visitor	6846 -> visitors
★secret	6845 -> secrets
★mary	6840 -> maries
code	6830 -> codes,coded,coding
author	6817 -> authors,authoring,authored
★kingdom	6810 -> kingdoms
★impossible	6808 -> impossibles
★song	6808 -> songs
discipline	6807 -> disciplines,disciplined,disciplining
★ordinary	6802 -> ordinaries
★administration	6800 -> administrations
★background	6798 -> backgrounds
★actual	6795 -> actuals
paint	6772 -> painted,paints,painting
★cabinet	6756 -> cabinets
★regulation	6745 -> regulations
★characteristic	6743 -> characteristics
fresh	6742 -> fresher,freshest
★technical	6739 -> technicals
★thomas	6739 -> thomass
★investigation	6738 -> investigations
bus	6713 -> buses,busses,bussing,bussed
loan	6713 -> loans,loaned,loaning
engine	6692 -> engines,engined
★henry	6691 -> henries
★internal	6678 -> internals
acquire	6677 -> acquired,acquiring,acquires
demonstrate	6675 -> demonstrated,demonstrates,demonstrating
★football	6672 -> footballs
★victim	6665 -> victims
★exhibition	6657 -> exhibitions
cheap	6655 -> cheaper,cheapest
screen	6651 -> screens,screened,screening
★dad	6646 -> dads
★consumer	6639 -> consumers
★category	6634 -> categories
strange	6634 -> stranger,strangest
★yard	6625 -> yards
broad	6624 -> broader,broadest,broads
★reading	6617 -> readings
print	6615 -> printed,prints,printing
prefer	6610 -> preferred,preferring,prefers
★chemical	6608 -> chemicals
tape	6607 -> tapes,taped,taping
★construction	6605 -> constructions
commit	6600 -> committed,committing,commits
★tradition	6598 -> traditions
★russian	6588 -> russians
threaten	6582 -> threatened,threatening,threatens
★manner	6581 -> manners
★relief	6581 -> reliefs
★housing	6580 -> housings
★tonight	6569 -> tonights
experiment	6568 -> experiments,experimenting,experimented
★improvement	6565 -> improvements
quick	6558 -> quicker,quickest
heat	6545 -> heated,heats,heating
channel	6534 -> channels,channelled,channelling
★distribution	6531 -> distributions
promote	6524 -> promoted,promoting,promotes
★description	6516 -> descriptions
divide	6516 -> divided,dividing,divides
★session	6513 -> sessions
insist	6497 -> insisted,insists,insisting
bind	6494 -> bound,binding,binds
★existence	6493 -> existences
★rose	6475 -> roses
★meal	6472 -> meals
quiet	6459 -> quieter,quietest,quieted,quiets,quieting
★prince	6446 -> princes
★religious	6444 -> religiouss
★liberal	6441 -> liberals
retain	6427 -> retained,retaining,retains
★appearance	6424 -> appearances
★gentleman	6422 -> gentlemen
output	6422 -> outputs,outputting,output
★crisis	6417 -> crises
sheet	6409 -> sheets,sheeted,sheeting
★unemployment	6401 -> unemployments
reject	6379 -> rejected,rejecting,rejects
pension	6363 -> pensions,pensioned,pensioning
★coffee	6361 -> coffees
★audience	6356 -> audiences
★thanks	6356 -> thankss
switch	6349 -> switched,switches,switching
★asset	6348 -> assets
★inc	6347 -> incs
assess	6335 -> assessed,assessing,assesses
★limited	6335 -> limiteds
consist	6330 -> consists,consisted,consisting
soft	6329 -> softer,softest
photograph	6328 -> photographs,photographed,photographing
nurse	6324 -> nurses,nursing,nursed
★formal	6322 -> formals
deliver	6318 -> delivered,delivering,delivers
plate	6317 -> plates,plated,plating
pack	6307 -> packed,packs,packing
★mountain	6302 -> mountains
hide	6298 -> hidden,hiding,hid,hides
★ideal	6297 -> ideals
★theatre	6296 -> theatres
attract	6288 -> attracted,attracting,attracts
★roman	6286 -> romans
protest	6282 -> protests,protested,protesting
★freedom	6279 -> freedoms
contribute	6278 -> contributed,contributing,contributes
narrow	6269 -> narrowed,narrower,narrowing,narrows,narrowest
★dinner	6267 -> dinners
vary	6253 -> varied,varies,varying
★writing	6253 -> writings
★magazine	6240 -> magazines
★explanation	6238 -> explanations
mistake	6233 -> mistakes,mistaken,mistaking,mistook
★flight	6232 -> flights
trip	6229 -> trips,tripped,tripping
arrest	6227 -> arrested,arrests,arresting
institute	6226 -> institutes,instituted,instituting
